Country,Total_Medals
USA,5637
Russia,2503
Germany,2165
UK,2068
France,1777
Italy,1637
Sweden,1536
Canada,1352
Australia,1320
Russia,1165
Hungary,1135
Netherlands,1040
Norway,1033
Germany,1005
China,989
Japan,913
Finland,900
Switzerland,691
Romania,653
South Korea,638
Denmark,597
Germany,586
Poland,565
Spain,489
Czech Republic,488
Brazil,475
Belgium,468
Austria,450
Cuba,409
Serbia,390
Bulgaria,342
Russia,279
Argentina,274
Greece,255
New Zealand,228
Ukraine,199
India,197
Jamaica,157
Croatia,149
Czech Republic,144
Belarus,139
South Africa,131
Pakistan,121
Mexico,110
Kenya,106
Nigeria,99
Turkey,95
Serbia,85
Kazakhstan,77
Iran,68
North Korea,67
Serbia,64
Uruguay,63
Lithuania,61
Ethiopia,53
Estonia,50
Taiwan,49
Slovenia,48
Slovakia,47
Azerbaijan,44
Indonesia,41
Portugal,41
Bahamas,40
Latvia,35
Ireland,35
Uzbekistan,34
Chile,32
Trinidad,32
Georgia,32
Thailand,30
Australia,29
Colombia,28
Egypt,27
Mongolia,26
Morocco,23
Ghana,23
Zimbabwe,22
Cameroon,22
Paraguay,17
Iceland,17
Algeria,17
Malaysia,16
Armenia,16
Peru,15
Venezuela,15
Montenegro,14
Tunisia,13
Fiji,13
Czech Republic,12
Philippines,10
Liechtenstein,9
,9
Puerto Rico,9
Israel,9
Luxembourg,8
Moldova,8
Uganda,7
Haiti,7
Dominican Republic,7
Saudi Arabia,6
Individual Olympic Athletes,5
Trinidad,5
Qatar,5
Namibia,4
Vietnam,4
Costa Rica,4
Tajikistan,4
Lebanon,4
China,4
Ivory Coast,3
Bahrain,3
Kyrgyzstan,3
Panama,3
Syria,3
Suriname,2
Afghanistan,2
Tanzania,2
Ecuador,2
Burundi,2
United Arab Emirates,2
Syria,2
Niger,2
Mozambique,2
Zambia,2
Grenada,2
Sri Lanka,2
Kuwait,2
"Virgin Islands, US",1
Botswana,1
Jordan,1
Guyana,1
Iraq,1
Guatemala,1
Togo,1
Nepal,1
Senegal,1
Bermuda,1
Barbados,1
Macedonia,1
Sudan,1
Mauritius,1
Kosovo,1
Curacao,1
Cyprus,1
Eritrea,1
Gabon,1
Monaco,1
Djibouti,1
Tonga,1
